,metric,threshold,config_idx,score,precision,recall,f1-score,algorithm,signal_idx,ex_time
0,sss,,0,nan,0.48687350835322196,0.99836867862969,0.6545454545454545,BasePersistentPattern,0,0.277177095413208
1,ss,,0,nan,0.22410187872398474,0.5985294117647059,0.3163305232255925,BasePersistentPattern,0,0.277177095413208
2,ses_auc,,0,nan,0.41749174917491755,0.902970297029703,0.47356224466260005,BasePersistentPattern,0,0.277177095413208
3,ses,0.0,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
4,ses,0.01,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
5,ses,0.02,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
6,ses,0.03,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
7,ses,0.04,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
8,ses,0.05,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
9,ses,0.06,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
10,ses,0.07,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
11,ses,0.08,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
12,ses,0.09,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
13,ses,0.1,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
14,ses,0.11,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
15,ses,0.12,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
16,ses,0.13,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
17,ses,0.14,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
18,ses,0.15,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
19,ses,0.16,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
20,ses,0.17,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
21,ses,0.18,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
22,ses,0.19,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
23,ses,0.2,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
24,ses,0.21,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
25,ses,0.22,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
26,ses,0.23,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
27,ses,0.24,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
28,ses,0.25,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
29,ses,0.26,0,nan,0.8333333333333334,1.0,0.9090909090909091,BasePersistentPattern,0,0.277177095413208
